AGAF|Afutara Airport|Afutara
DFCA|Kaya Airport|Kaya
DFCC|Ouahigouya Airport|Ouahigouya
DFCJ|Djibo Airport|Djibo
DFCL|Leo Airport|Leo
DFCP|Pô Airport|Pô
DFEA|Boulsa Airport|Boulsa
DFEB|Bogande Airport|Bogande
DFED|Diapaga Airport|Diapaga
DFEE|Dori Airport|Dori
DFEF|Fada N'gourma Airport|Fada N'gourma
DFEG|Gorom Gorom Airport|Gorom Gorom
DFEL|Kantchari Airport|Kantchari
DFEM|Tambao Airport|Tambao
DFEP|Pama Airport|Pama
DFES|Sebba Airport|Sebba
DFET|Tenkodogo Airport|Tenkodogo
DFEZ|Zabre Airport|Zabré
DFFD|Ouagadougou Airport|Ouagadougou
DFOB|Banfora Airport|Banfora
DFOD|Dedougou Airport|Dedougou
DFON|Nouna Airport|Nouna
DFOO|Bobo Dioulasso Airport|Bobo Dioulasso
DFOT|Tougan Airport|Tougan
DFOU|Diebougou Airport|Diebougou
DFOY|Aribinda Airport|Aribinda
DGAA|Kotoka International Airport|Accra
DGLE|Tamale Airport|Tamale
DGLN|Navrongo Airport|Navrongo
DGLW|Wa Airport|Wa
DGLY|Yendi Airport|Yendi
DGSI|Kumasi Airport|Kumasi
DGSN|Sunyani Airport|Sunyani
DGTK|Takoradi Airport|Takoradi
DIAO|Aboisso Airport|Aboisso
DIAP|Port Bouet Airport (Felix Houphouet Boigny International Airport)|Abidjan
DIAU|Abengourou Airport|Abengourou
DIBI|Boundiali Airport|Boundiali
DIBK|Bouake Airport|Bouake
DIBN|Tehini Airport|Bouna
DIBU|Soko Airport|Bondoukou
DIDK|Dimbokro Airport|Dimbokro
DIDL|Daloa Airport|Daloa
DIDV|Divo Airport|Divo
DIFK|Ferkessedougou Airport|Ferkessedougou
DIGA|Gagnoa Airport|Gagnoa
DIGL|Guiglo Airport|Guiglo
DIKO|Korhogo Airport|Korhogo
DIMN|Man Airport|Man
DIOD|Odienne Airport|Odienne
DIOF|Ouango Fitini Airport|Ouango Fitini
DISG|Seguela Airport|Seguela
DISP|San Pédro Airport|San Pédro
DISS|Sassandra Airport|Sassandra
DITB|Tabou Airport|Tabou
DITM|Mahana Airport|Touba
DIYO|Yamoussoukro Airport|Yamoussoukro
DNAA|Nnamdi Azikiwe International Airport|Abuja, FCT
DNAK|Akure Airport|Akure, Ondo State
DNAI|Akwa Ibom International Airport|Uyo, Akwa Ibom State
DNBE|Benin Airport|Benin City, Edo State
DNBI|Bida Airstrip|Bida, Borno State
DNCA|Magaret Ekpo International Airport|Calabar, Cross River State
DNEN|Akanu Ibiam International Airport|Enugu, Enugu State
DNGU|Gusau Airstrip|Gusau, Zamfara State
DNIB|Ibadan Airport|Ibadan, Oyo State
DNIL|Ilorin International Airport|Ilorin, Kwara State
DNIM|Sam Mbakwe International Cargo Airport|Owerri, Imo State
DNJO|Jos Airport|Jos, Plateau State
DNKA|Kaduna International Airport|Kaduna, Kaduna State
DNBK|Kebbi International Airport (a.k.a. Sir Ahmadu Bello International Airport)|Ambursa, Kebbi State
DNKN|Mallam Aminu Kano International Airport|Kano, Kano State
DNMA|Maiduguri International Airport|Maiduguri, Borno State
DNMK|Makurdi Air Force Base|Makurdi, Benue State
DNMM|Murtala Mohammed International Airport|Ikeja, Lagos State
DNMN|Minna Airport|Minna, Niger State
DNOS|Osogbo Airstrip|Osogbo, Osun State
DNPO|Port Harcourt International Airport|Port Harcourt, Rivers State
DNSO|Sadiq Abubakar III International Airport|Sokoto, Sokoto State
DNYO|Yola Airport|Yola, Adamawa State
DNZA|Zaria Airport|Zaria, Kaduna State
DRRA|Tessaoua Airport|Tessaoua
DRRC|Dogondoutchi Airport|Dogondoutchi
DRRD|Dosso Airport|Dosso
DRRE|Téra Airport|Téra
DRRG|Gaya Airport|Gaya
DRRL|Tillabery Airport|Tillabery
DRRM|Maradi Airport|Maradi
DRRN|Diori Hamani International Airport|Niamey
DRRP|La Tapoa Airport|La Tapoa
DRRT|Tahoua Airport|Tahoua
DRRU|Ouallam Airport|Ouallam
DRZA|Mano Dayak International Airport|Agades South
DRZD|Dirkou Airport - Dirkou|
DRZF|Diffa Airport|Diffa
DRZG|Goure Airport|Goure
DRZI|Iferouane Airport|Iferouane
DRZL|Arlit Airport|Arlit
DRZM|Maine-Soroa Airport|Maine-Soroa
DRZR|Zinder Airport|Zinder
DTKA|Tabarka - 7 Novembre International Airport|Tabarka
DTMB|Monastir - Habib Bourguiba International Airport|Monastir
DTTA|Tunis - Carthage International Airport|Tunis
DTTB|Bizerte-Sidi Ahmed Air Base|Bizerte
DTTF|Gafsa - Ksar International Airport|Gafsa
DTTG|Gabès - Matmata International Airport|Gabès
DTTJ|Djerba - Zarzis International Airport|Djerba
DTTX|Thyna/El Maou Airport|Sfax
DTTZ|Tozeur - Nefta International Airport|Tozeur
DTNZ|Enfidha|Hammamet International Airport
DXAK|Akpaka Airport|Atakpame
DXDP|Djangou Airport|Dapaong
DXKP|Kolokope Airport|Anie
DXMG|Sansanné-Mango Airport|Sansanné-Mango
DXNG|Niamtougou International Airport|Niamtougou
DXSK|Sokode Airport|Sokode
DXXX|Lomé-Tokoin Airport|Lomé
EBAW|Antwerp International Airport|Antwerp/Deurne
EBBR|Brussels Airport||Brussels/Zaventem
EBCI|Brussels South Charleroi Airport|Charleroi
EBKT|Flanders International Airport|Kortrijk/Wevelgem
EBLG|Liège Airport|Liège
EBOS|Ostend|Bruges International Airport
EBBE|Beauvechain Air Base|Beauvechain
EBBL|Kleine Brogel Air Base|Kleine Brogel
EBBX|Jehonville Air Base|Bertrix
EBCV|Chièvres Air Base|Chièvres
EBDT|Schaffen Air Base|Schaffen
EBFN|Koksijde Air Base|Koksijde
EBFS|Florennes Air Base|Florennes
EBLB|Elsenborn-Butgenbach Air Base|Elsenborn^[2]
EBLE|Beverlo Air Base|Leopoldsburg/Beverlo
EBMB|Melsbroek Air Base|Brussels/Zaventem
EBSL|Zutendaal Air Base|Zutendaal
EBSU|Saint-Hubert Air Base|Saint-Hubert
EBTN|Goetsenhoven Military Airfield|Goetsenhoven
EBUL|Ursel Air Base|Ursel
EBWE|Weelde Air Base|Weelde
EBZR|Oostmalle Airfield|Zoersel/Oostmalle
EBAR|Arlon-Sterpenich Aerodrome|Arlon
EBBT|Brasschaat Airfield|Brasschaat
EBCF|Cerfontaine Airport|Cerfontaine
EBGB|Grimbergen Airfield|Grimbergen
EBGG|Overboelare Airfield|Geraardsbergen/Overboelare
EBHN|Hoevenen Airfield|Hoevenen
EBKH|Balen-Keiheuvel Aerodrome|Balen
EBMO|Moorsele Airfield|Moorsele
EBNM|Namur-Suarlee Airport|Namur
EBSG|Saint-Ghislain Airport|Saint-Ghislain
EBSH|Saint-Hubert Airport|Saint-Hubert
EBSP|Spa-La Sauvenière Airport|Spa
EBST|Brustem Airport|Brustem/Sint-Truiden
EBTX|Verviers-Theux Airfield|Theux
EBTY|Maubray Airport|Tournai
EBZH|Kiewit Airfield|Hasselt
EBZW|Zwartberg Airfield|Genk
EBAM|Amougies Airfield|Amougies
EBAV|Avernas-le-Bauduin Airport|Hannut
EBBN|Büllingen Airfield|Büllingen
EBBY|Genappe Airport|Genappe
EBBZ|Pont-à-Celles Airport|Pont-à-Celles
EBIS|Ath/Isieres Airport|Ath
EBLN|Liernu Airport|Éghezée
EBMG|Doische Airport|Doische
EBML|Maillen Airport|Assesse
EBNE|Neerpelt Airport|Neerpelt
EBOR|Orchimont Airport|Vresse-sur-Semois
EBZU|Zuienkerke Airfield|Zuienkerke
EBAL|Aalst Hospital Heliport|Aalst
EBBA|Baudour Heliport|Douvrain
EBEU|Universitair Ziekenhuis Antwerpen Hospital Heliport|Edegem
EBGA|UZ Leuven Hospital Heliport|Leuven
EBGE|Grand Hôpital de Charleroi (GHDC Asbl) Heliport|Loverval
EBGT|Ghent/Industry Zone Heliport|Ghent
EBLC|CHR de La Citadelle Hospital Heliport|Liège
EBLS|Centre Hospitalier Heliport|Liège
EBMD|Antwerp/Middelheim Hospital Heliport|Antwerp
EBMS|Centre Médical Héliporté ASBL (CMH) Heliport|Lierneux
EBMT|Centre Hospitalier Universitaire A. Vésale Heliport|Montigny-le-Tilleul
EBSJ|Bruges/Sint-Pieters Hospital Heliport|Sint-Pieters
EBSS|Sint-Lucas Hospital Heliport|Bruges
EBUB|Erasmus Hospital Heliport|Anderlecht
EBUC|Cliniques Universitaires Saint-Luc Hospital Heliport|Woluwe-Saint-Lambert
EBVS|Veurne/Sint-Augustinus Heliport|Veurne
EBYP|Regionaal Ziekenhuis Jan Yperman VZW Hospital Heliport|Ypres
EBAK|Antwerp/Kiel Heliport|Antwerp
EBAS|Schilde/'s-Gravenwezel Heliport|Schilde
EBBC|Brecht/Luyckx Heliport|Brecht
EBBH|Brecht/Keysers Heliport|Brecht
EBBM|Brakel/Michelbeke Heliport|Michelbeke
EBBV|Brecht/Vochten Heliport|Brecht
EBCH|Shape Pad Heliport|Les Bruyères^[3]
EBDI|Diksmuide Heliport|Diksmuide
EBDL|Dilsen-Stokkem/Lanklaar Heliport|Dilsen-Stokkem
EBDR|Antwerp/Commandant Fourcault Heliport|Antwerp
EBDW|Diest/Webbekom Heliport|Diest
EBEB|Evergem/Belzele Heliport|Evergem
EBEN|Ranst/Engles Heliport|Ranst
EBFR|Francorchamps Heliport|Francorchamps
EBHA|Ham Heliport|Ham
EBHL|Halen Heliport|Halen
EBHM|Hasselt/Maasland Heliport|Hasselt
EBHO|Holsbeek Heliport|Holsbeek
EBHT|Houthalen Heliport|Houthalen-Helchteren
EBKR|Kruishoutem/Sons Heliport|Kruishoutem
EBKU|Kuurne Heliport|Kuurne^[4]
EBKW|Knokke-Heist/Westkapelle Heliport|Knokke-Heist
EBLM|Meulebeke Heliport|Meulebeke
EBLR|Reninge Heliport|Reninge
EBLT|Lint Heliport|Lint
EBLU|Lummen Heliport|Lummen
EBLY|Ranst/Lymar Heliport|Ranst
EBLZ|Zaffelare Heliport|Lochristi^[5]
EBME|Meerbeek Heliport|Meerbeek
EBMW|Meise/Wolvertem Heliport|Meise
EBNH|Oostende Heliport|Ostend
EBNK|Nokere/Suys Heliport|Nokere
EBNP|Neerpelt/Tilburgs Heliport|Neerpelt
EBOB|Oud-Heverlee/Blanden Heliport|Oud-Heverlee
EBOO|Oostdijckbank Heliport|
EBPW|Pecq/Warcoing Heliport|Pecq
EBRO|Ranst/Van Den Bosch Heliport|Ranst
EBRR|Roeselare/Rumbeke Heliport|Rumbeke
EBSW|Sint-Pieters-Leeuw Heliport|Sint-Pieters-Leeuw
EBTK|Tielen/Kasterlee Heliport|Kasterlee
EBVE|Oeren Heliport|Veurne
EBVU|Rotselaar Heliport|Rotselaar
EBWA|Waasmunster Heliport|Waasmunster
EBWI|Wingene Heliport|Wingene
EBWZ|Wingene/Zwevezele Heliport|Wingene
EBZI|Zingem Heliport|Zingem
EBZM|Zomergem Heliport|Zomergem
EBZO|Zonnebeke/Zandvoorde Heliport|Zandvoorde
EDAC|Leipzig-Altenburg Airport|Altenburg/Leipzig
EDAD|Flugplatz Dessau|Dessau
EDAH|Heringsdorf Airport (Flugplatz Heringsdorf)|Heringsdorf
EDAP|Cottbus-Neuhausen Airport|Cottbus
EDAV|Flugplatz Finow|Finow
EDAX|Rechlin-Lärz Airfield|Rechlin
EDAY|Flugplatz Strausberg|Strausberg, Brandenburg
EDAZ|Flugplatz Schönhagen|Trebbin, Brandenburg
EDBC|Magdeburg|Cochstedt Airport
EDBH|Stralsund Barth Airport|Barth, Mecklenburg-Vorpommern
EDBM|Flugplatz Magdeburg|Magdeburg
EDCA|Anklam|
EDCD|Cottbus-Drewitz Airport|Cottbus
EDCP|Peenemunde|
EDCI|Klix Airfield|Bautzen
EDDB|Berlin-Schönefeld International Airport (to be expanded and renamed Berlin Brandenburg International Airport)|Berlin
EDDC|Dresden Klotzsche Airport|Dresden
EDDE|Erfurt Airport|Erfurt
EDDF|Frankfurt International Airport|Frankfurt am Main
EDDG|Münster Osnabrück International Airport|Greven
EDDH|Hamburg Airport|Hamburg
EDDK|Cologne Bonn Airport|Cologne/Bonn
EDDL|Düsseldorf International Airport|Düsseldorf
EDDM|Munich International Airport (Franz Josef Strauß International Airport)|Munich
EDDN|Nuremberg Airport|Nuremberg
EDDP|Leipzig/Halle Airport|Leipzig/Halle
EDDR|Saarbrücken Airport|Saarbrücken
EDDS|Stuttgart Echterdingen Airport|Stuttgart
EDDT|Tegel International Airport|Berlin
EDDV|Hanover/Langenhagen International Airport|Hanover
EDDW|Bremen Airport|Bremen
EDEH|Sonderlandeplatz Herrenteich|Herrenteich (Baden)
EDFB|Flugplatz Reichelsheim|Reichelsheim
EDFC|Aschaffenburg Airport|Aschaffenburg
EDFE|Frankfurt Egelsbach Airport|Frankfurt am Main
EDFG|Flugplatz Gelnhausen|Gelnhausen
EDFH|Frankfurt-Hahn Airport|Rhineland-Palatinate
EDFM|Mannheim City Airport|Mannheim
EDFQ|Allendorf Airport|Allendorf, Waldeck-Frankenberg
EDFT|Flugplatz Lauterbach|Lauterbach
EDFZ|Mainz-Finthen|Mainz
EDGE|Flugplatz Eisenach-Kindel|Hörselberg-Hainich
EDGO|Oedheim HEL|Oedheim
EDGP|Oppenheim Airport|Oppenheim
EDGS|Siegerland Airport|Burbach
EDGX|Sonderlandeplatz Walldorf|Walldorf (Baden)
EDHE|Uetersen Airport|Heist
EDHG|Sonderlandeplatz Lüneburg|Lüneburg
EDHI|Hamburg Finkenwerder Airport|Hamburg
EDHK|Kiel Holtenau Airport|Kiel
EDHL|Lübeck Airport|Lübeck
EDHM|Hartenholm Airport|Hartenholm
EDHS|Sonderlandeplatz Stade|Stade
EDIU|Heidelberg Airport|Heidelberg
EDJA|Allgäu Airport|Memmingen
EDKA|Aachen-Merzbrück Airport|Aachen
EDKB|Bonn-Hangelar Airport|Sankt Augustin
EDKL|Leverkusen Airport|Leverkusen
EDKU|Attendorn-Finnentrop|Finnentrop
EDKV|Dahlemer Binz Airport|Dahlem
EDLC|Kamp-Lintfort|Wesel
EDLD|Flugplatz Schwarze Heide|Dinslaken
EDLG|Goch-Asperden Airport|Goch
EDLK|Krefeld-Egelsberg Airport|Krefeld
EDLN|Düsseldorf-Mönchengladbach Airport|Mönchengladbach
EDLP|Paderborn Lippstadt Airport|Paderborn / Lippstadt
EDLR|Paderborn Haxterberg|Paderborn
EDLS|Stadtlohn-Vreden Airport|Stadtlohn
EDLV|Weeze Airport (formerly Niederrhein Airport)|Weeze
EDLW|Dortmund Airport|Dortmund
EDLX|Wesel-Römerwardt Airport|Wesel
EDLZ|Soest Bad Sassendorf Airport|Soest / Bad Sassendorf
EDME|Flugplatz Eggenfelden|Pfarrkirchen
EDMO|Oberpfaffenhofen Airport|Oberpfaffenhofen
EDMA|Augsburg Airport|Augsburg
EDMQ|Donauwörth Airport|Genderkingen
EDMS|Straubing Wallmuhle Airport|Straubing
EDMT|Tannkosh|Flugplatz Tannheim
EDMV|Flugplatz Vilshofen|Vilshofen
EDNR|Regensburg-Oberhub|Regenstauf / Regensburg
EDNY|Bodensee Airport|Friedrichshafen
EDOJ|Lüsse|Lüsse
EDOP|Schwerin-Parchim Airport|Parchim
EDOV|Stendal-Borstel Airport|Stendal
EDQC|Coburg-Brandensteinsebene|Coburg
EDQD|Bindlacher Berg Airport (Bayreuth Airport)|Bayreuth
EDQE|Burg Feuerstein|
EDQG|Giebelstadt|
EDQH|Herzogenaurach|
EDQM|Hof-Plauen Airfield|Hof/Plauen
EDRB|Bitburg Airport|Bitburg
EDRI|Linkenheim Airport|Linkenheim-Hochstetten
EDRK|Koblenz Winningen|Winningen, Mosel
EDRT|Trier-Föhren Airport|Trier
EDRY|Flugplatz Speyer|Speyer
EDRZ|Zweibrücken Airport|Zweibrücken
EDSB|Baden Airpark|Baden-Baden / Karlsruhe
EDTB|Flugplatz Baden-Oos|Baden-Baden
EDTD|Flugplatz Donaueschingen-Villingen|Donaueschingen
EDTE|Flugplatz Eutingen|Eutingen im Gäu
EDTF|Flugplatz Freiburg|Freiburg
EDTG|Airport Bremgarten|Bremgarten
EDTL|Black Forest Airport|Lahr
EDTM|Flugplatz Mengen-Hohentengen|Mengen
EDTQ|Pattonville Airfield|Pattonville
EDTY|Adolf Würth Airport|Schwäbisch Hall
EDTX|Weckrieden|Schwäbisch Hall
EDVE|Braunschweig-Wolfsburg Airport|Braunschweig
EDVI|Flugplatz Höxter-Holzminden|Höxter / Holzminden
EDVK|Kassel Calden Airport|Kassel
EDWC|Flugplatz Damme|Damme
EDWF|Flugplatz Leer Papenburg|Leer
EDWH|Flugplatz Oldenburg-Hatten|Hatten
EDWI|JadeWeserAiport|Wilhelmshaven-Mariensiel
EDWJ|Juist Airport|Juist
EDWR|Borkum Airfield|Borkum
EDWS|Norden-Norddeich Airport|Norden, Lower Saxony
EDWY|Norderney Airport|Norderney
EDXB|Heide-Büsum Airport|Heide
EDXH|Heligoland Airport|Heligoland
EDXM|St. Michaelisdonn|St. Michaelisdonn
EDXW|Sylt Airport|Westerland, Sylt
ETAD|Spangdahlem Air Base|Spangdahlem
ETAR|Ramstein Air Base|Ramstein
ETEJ|Bamberg-Breitenau Airfield|Bamberg
ETHA|Altenstadt Air Base|Altenstadt
ETHB|Bückeburg Air Base|Bückeburg
